label,study_and_condition
__label__1,study interventions are Vidarabine . childhood burkitt lymphoma diagnosis and diffusing capacity of the lung for carbon monoxide dlco less_than thirty total lung capacity tlc less_than thirty forced expiratory volume in one second fevone less_than thirty and or receiving supplementary continuous oxygen the fhcrc principal investigator pi of the study must approve enrollment of all patients with pulmonary nodules
__label__0,study interventions are Fludarabine . recurrent marginal zone lymphoma diagnosis and patient and donor must be matched for at least one drbone allele and one dqbone allele
__label__0,study interventions are Vaccines . ovarian cancer diagnosis and lymphocyte count greater_than five hundred mm three
__label__1,"study interventions are Antibodies, Monoclonal . stage iiia fallopian tube cancer diagnosis and patients with or with anticipation of invasive procedures as defined below"
__label__0,study interventions are Gemcitabine . breast cancer diagnosis and hepatic
__label__1,study interventions are Carboplatin . fallopian tube transitional cell carcinoma diagnosis and major surgical procedure anticipated during the course of the study this includes but is not limited to abdominal surgery laparotomy or laparoscopy prior to disease progression such as colostomy or enterostomy_reversal secondary cytoreductive surgery or second look surgery please consult with the sdc randomization desk prior to patient entry for any questions related to the classification of surgical procedures
__label__1,study interventions are Fludarabine phosphate . active infection not pregnant or nursing negative pregnancy test hiv negative history of allergic reaction to taxane or polysorbate eighty grade two or worse peripheral neuropathy second malignancy within the past two years except basal cell skin cancer carcinoma in situ of the cervix or tumor previously treated with curative intent other clinically significant comorbid illnesses
__label__0,study interventions are Everolimus . stage iv melanoma diagnosis and no congestive heart failure
__label__1,study interventions are Erlotinib Hydrochloride . tumors with mixed histology of nsclc and small cell lung cancer sclc
__label__1,study interventions are Vincristine . history of treated prior malignancy unless in remission greater_than two years except for treated nonmelanoma carcinomas of the skin or in situ cervical carcinomas or prostatic carcinomas
__label__1,study interventions are BB 1101 . glaucoma
__label__0,study interventions are Methylprednisolone Hemisuccinate . prostate cancer diagnosis and psa greater_than twentyng ml
__label__0,study interventions are Cisplatin . recurrent gastric cancer diagnosis and metastatic or unresectable disease
__label__1,study interventions are management of therapy complications . stage iii adenoid cystic carcinoma of the oral cavity diagnosis and history of renal failure or compromise
__label__0,study interventions are alvespimycin hydrochloride . stage iv verrucous carcinoma of the oral cavity diagnosis and colon
__label__0,study interventions are Glucocorticoids . mixed glioma diagnosis and bilirubin less_than doc
__label__0,study interventions are Antibodies . stage iva squamous cell carcinoma of the larynx diagnosis and absolute neutrophil count anc greater_than equal_than doc ten nine l
__label__0,"study interventions are Antibodies, Monoclonal . advanced cancer diagnosis and exception for the bevacizumab positive erlotinib positive cetuximab arm and the bevacizumab positive trastuzumab positive lapatinib arm"
__label__1,study interventions are Dihydrotestosterone . prior diagnosis of cancer except non melanoma skin cancer
__label__0,study interventions are Temozolomide . brain and central nervous system tumors diagnosis and hepatic
__label__0,study interventions are Cisplatin . resected pancreatic adenocarcinoma diagnosis and women with childbearing potential and fertile men must use adequate contraceptive measures during and for at least three months female and six months male after completion of study therapy adequate methods for women are oral contraceptives with estrogen and progesterone vaginal rings contraceptive patches estrogen free ovulation inhibitors intrauterine devices with progesterone three month injections with depot progesterone implants setting free progesterone abstinence or sterilization vasectomy of the male partner
__label__1,study interventions are Lenograstim . breast neoplasm diagnosis and patients who are pregnant or breastfeeding are not eligible
__label__0,study interventions are Belinostat . stage iii adult immunoblastic large cell lymphoma diagnosis and grade three qtc prolongation
__label__1,study interventions are Irinotecan . colon cancer diagnosis and known history of clinically significant active copd or other moderate to severe chronic respiratory illness present within six months
__label__1,study interventions are Bevacizumab . other malignancy within the past five years except adequately treated basal cell or squamous cell skin cancer carcinoma in situ of the cervix or adequately treated stage or ii cancer currently in complete remission
__label__1,study interventions are Albumin-Bound Paclitaxel . unknown primary tumors diagnosis and immunocompromised patients eg patients who are known to be serologically positive for human immunodeficiency virus hiv
__label__0,study interventions are Antibodies . stage ivb laryngeal squamous cell carcinoma diagnosis and alkaline phosphatase greater_than doc but equal_than less_than five uln and ast or alt normal
__label__0,study interventions are Cabozantinib S-malate . adult hepatocellular carcinoma diagnosis and at least seven days must have elapsed since the completion of therapy with growth factor at least fourteen days must have elapsed after receiving pegfilgrastim
__label__0,study interventions are Cytarabine . stage iv childhood large cell lymphoma diagnosis and histologically or cytologically proven cell malignancies either burkitt leukemia or al equal_than burkitt leukemia equal_than lthree al or diffuse large cell nhl or aggressive mature cell nhl non otherwise specified or specifiable phase iii
__label__0,study interventions are Mycophenolic Acid . mantle cell lymphoma diagnosis and patients with bulky disease should be considered for debulking chemotherapy before transplant
__label__1,study interventions are Docetaxel . breast cancer diagnosis and women of child bearing potential must have negative serum pregnancy test within ten days of starting study drug on day one cycle one
__label__1,study interventions are Topoisomerase I Inhibitors . recurrent small cell lung carcinoma diagnosis and unwilling or unable to follow protocol requirements
__label__0,study interventions are Fluorodeoxyglucose F18 . lung cancer diagnosis and at least one month since prior radiotherapy except for palliative radiotherapy to non target lesions
__label__1,study interventions are Patients with negative PET after salvage therapy . neoplasia in the last three years except carcinoma in situ uterus neck and basal skin cancer or prostate cancer in early stage localized exeresi treated with surgery or brachytherapy with curative intent good prognosis dcis breast treated with surgery alone
__label__0,study interventions are Fludarabine phosphate . recurrent marginal zone lymphoma diagnosis and patient and donor pairs_homozygous at mismatched allele in the graft rejection_vector are considered two allele mismatch the patient is one hundred and one and the donor is two hundred and one and this type of mismatch is not allowed
__label__0,study interventions are Cytarabine . lymphoma diagnosis and pregnant or nursing women may not participate
__label__0,"study interventions are Antibodies, Monoclonal . stage ivb laryngeal squamous cell carcinoma diagnosis and total bilirubin within normal institutional limits unless proven gilbert disease which after principal investigator pi approval patient may be included"
__label__0,study interventions are Thalidomide . diffuse intrinsic pontine glioma diagnosis and breast development is estrogen stimulated and since ovulation cannot occur without estrogen tanner stage two will be reliable marker for the definition of fertility
__label__1,study interventions are Pemetrexed . stage iiib non small cell lung cancer diagnosis and known human immunodeficiency virus hiv positive patients
__label__0,study interventions are study of high risk factors . breast cancer diagnosis and hepatic
__label__1,study interventions are Albumin-Bound Paclitaxel . her two positive breast cancer diagnosis and pregnant or lactating patients
__label__0,study interventions are Etoposide . stage ii diffuse large cell lymphoma diagnosis and bilirubin equal_than less_than two upper limit of normal alt ast equal_than less_than three upper limit of normal and clinical evaluation to rule out cirrhosis
__label__0,study interventions are Melphalan . multiple myeloma and plasma cell neoplasm diagnosis and hypoploidy less_than forty-four chromosomes
__label__1,study interventions are Capecitabine . infiltrating duct and lobular carcinoma in situ diagnosis and pure dcis diagnoses are not elegible
__label__0,study interventions are Oxycodone . myelodysplastic myeloproliferative neoplasms diagnosis and more than three days since prior and no concurrent transdermal fentanyl oxymorphone or buprenorphine
__label__1,study interventions are Cortisone . stage iv prostate adenocarcinoma diagnosis and immunotherapy sipuleucel ipilimumab
__label__1,study interventions are Interferon-alpha . clinical radiological laboratory or pathological evidence of incompletely resected melanoma or any distant metastatic disease
__label__0,study interventions are behavioral dietary intervention . unspecified adult solid tumor protocol specific diagnosis and healthy participant
__label__1,study interventions are Dexamethasone acetate . multiple myeloma diagnosis and major surgery within fourteen days prior to start of study treatment
__label__0,study interventions are Radiofrequency ablation (RFA) . other local tumor control measures are not recommended for malignant lesion based on review in multidisciplinary team conference or the patient refuses recommended local tumor control measures
__label__1,study interventions are Cyclophosphamide . noncutaneous extranodal lymphoma diagnosis and patients who have had major surgical procedures or significant traumatic injury within twenty-eight days prior to study treatment
__label__0,study interventions are Fludarabine . childhood burkitt lymphoma diagnosis and low grade nh negative with less_than six month duration of complete remission cr between courses of conventional therapy
__label__1,study interventions are dermatologic complications management/prevention . stage ib breast cancer diagnosis and patients who are pregnant or breastfeeding
__label__1,study interventions are Bevacizumab . anaplastic oligodendroglioma diagnosis and known gastrointestinal disease or history of gastrointestinal surgery that could interfere with the absorption of orally administered medication
__label__1,study interventions are Vaccines . recurrent ovarian epithelial cancer diagnosis and pregnant women are excluded from this study
__label__1,study interventions are Vaccines . ovarian carcinoma diagnosis and known hiv positivity
__label__1,study interventions are Fulvestrant . er positive breast cancer diagnosis and inability to complete informed consent process and adhere to the protocol treatment plan and follow up requirements
__label__0,study interventions are Paclitaxel . but antitumoral hormonal therapy must be terminated prior to enrollment up to the date of randomization
__label__0,study interventions are Etoposide phosphate . aids related diffuse small cleaved cell lymphoma diagnosis and if of child bearing potential must have negative serum or urine pregnancy test within seven days of treatment
__label__1,study interventions are Mycophenolic Acid . stage iii adult lymphoblastic lymphoma diagnosis and fertile men or women unwilling to use contraceptive techniques during and for twelve months following treatment
__label__0,study interventions are Carboplatin . lung cancer diagnosis and subjects of childbearing potential are those who have not been surgically sterilized or have not been free from menses for greater_than one year
__label__1,study interventions are Vitamins . bladder neoplasm diagnosis and uncontrolled hypertension
__label__1,study interventions are Etoposide phosphate . aids related diffuse mixed cell lymphoma diagnosis and forced vital capacity fvc forced expiratory volume in one second fevone or diffusion capacity of the lung of carbon monoxide dlco parameters less_than sixty predicted corrected for hemoglobin
__label__0,study interventions are Niacinamide . pancreatic cancer diagnosis and patients with neurological symptoms must undergo ct scan mri of the brain to exclude brain metastases
__label__1,study interventions are Androgens . prostate cancer diagnosis and prior treatment with cytarabine
__label__0,study interventions are Merestinib . solid tumor diagnosis and serum creatinine less_than doc institutional uln
__label__1,study interventions are Interferon-alpha . sarcoma kaposi diagnosis and medical contraindication
__label__1,study interventions are Immunoglobulins . recurrent marginal zone lymphoma diagnosis and patients who have had chemotherapy or radiotherapy within three weeks six weeks for nitrosoureas or mitomycin prior to entering the study or those who have not recovered to baseline or are not at stable grade equal_than less_than two from adverse events due to agents administered more than three weeks earlier patients who have received immunotherapy or radioimmunotherapy within three months unless disease has progressed since treatment patients who have been administered abt eight hundred and eighty-eight as part of single or limited dosing study such as phase zero study will not be excluded from participating in this study solely because of receiving prior abt eight hundred and eighty-eight
__label__1,study interventions are Etoposide . patients with other prior malignancies except for adequately treated basal cell carcinoma squamous cell carcinoma of the skin cervical cancer in situ or other cancer from which the patient has been disease free for five years or greater unless approved by the protocol chair or co chair
__label__1,study interventions are Paclitaxel . stage iv squamous cell carcinoma of the larynx diagnosis and since zidovudine and stavudine have potential for severe hematological toxicity potentially overlapping with toxicities of the study therapy treatment with these agents will be disallowed
__label__0,study interventions are Levoleucovorin . colorectal cancer diagnosis and disease characteristics
__label__1,study interventions are Etoposide phosphate . extensive stage small cell lung cancer diagnosis and history of another active malignancy
__label__1,study interventions are ADCT-402 . lymphoma mantle cell diagnosis and failure to recover from acute non hematologic toxicity except alopecia due to previous therapy prior to screening
__label__1,study interventions are Cytarabine . mantle cell lymphoma diagnosis and female subject is pregnant or breast feeding pregnancy testing is mandatory for premenopausal women
__label__0,study interventions are Fludarabine phosphate . stage iv mantle cell lymphoma diagnosis and patient and donor pairs_homozygous at mismatched allele in the graft rejection_vector are considered two allele mismatch the patient is one hundred and one and the donor is two hundred and one and this type of mismatch is not allowed
__label__0,study interventions are Carboplatin . stage iv verrucous carcinoma of the larynx diagnosis and eastern cooperative oncology group ecog performance status equal_than less_than two karnofsky greater_than equal_than fifty
__label__1,study interventions are Shorter WB fractionation + Boost . carcinoma ductal breast diagnosis and women who are pregnant or lactating
__label__1,study interventions are Sirolimus . glioma diagnosis and patients with an active bleeding diathesis or on oral anti vitamin medication except low dose coumarin
__label__0,study interventions are Abiraterone Acetate . before chemotherapy for prostate cancer with regimen containing paclitaxel or docetaxel
__label__1,study interventions are management of therapy complications . recurrent small lymphocytic lymphoma diagnosis and osteopenia or osteoporosis score equal_than less_than
__label__0,study interventions are Gemcitabine . extrahepatic bile duct cancer diagnosis and no repeat scan needed if negative scan was performed within thirty-five days prior to randomization
__label__0,study interventions are Paclitaxel . ihc must be performed and the ihc staining results must indicate score of one positive in situ hybridization ish testing is not required or two positive ish must also be performed and must indicate that the tumor is hertwo low as described below
__label__1,study interventions are Ifosfamide . malignant triton tumor diagnosis and note
__label__0,study interventions are Cediranib . recurrent colon carcinoma diagnosis and hemoglobin greater_than equal_than ninety l or greater_than equal_than nine dl
__label__0,study interventions are magnetic resonance imaging . breast cancer diagnosis and prior concurrent therapy
__label__0,study interventions are Tamoxifen . breast cancer diagnosis and adequate renal function as defined by creatinine less than doc mg dl
__label__0,study interventions are Cytarabine . recurrent childhood lymphoblastic lymphoma diagnosis and creatinine clearance or gfr at least sixty ml min doc threemtwo
__label__1,study interventions are Cyclosporine . recurrent adult burkitt lymphoma diagnosis and any current central nervous system cns involvement with disease
__label__0,study interventions are Prednisone . recurrent prostate cancer diagnosis and history of mobitz ii second degree or third degree heart block without permanent pacemaker in place
__label__1,study interventions are Everolimus . advanced solid tumors diagnosis and stable dose of corticosteroids for at least two weeks
__label__0,study interventions are radiation therapy . endometrial cancer diagnosis and performance status
__label__0,study interventions are Paclitaxel . squamous cell carcinoma of the head and neck diagnosis and eighteen years
__label__0,study interventions are Dexamethasone 21-phosphate . prior local radiotherapy for local myeloma progression allowed
__label__0,study interventions are Immunoglobulins . diffuse adenocarcinoma of the stomach diagnosis and no concurrent chronic daily aspirin greater_than three hundred and twenty-five mg day
__label__0,study interventions are Etoposide phosphate . central nervous system tumors diagnosis and three to twenty-one performance status
__label__0,study interventions are Cyclosporins . recurrent hodgkin lymphoma diagnosis and myelodysplasia mds myeloproliferative syndrome mps
__label__0,study interventions are Obinutuzumab . prior therapy with any inhibitor of bruton tyrosine kinase btk spleen tyrosine kinase syk phosphatidylinositol three kinase pithreek cell lymphoma two bcl two or obinutuzumab
__label__1,study interventions are Sirolimus . non clear cell renal cell carcinoma nccrcc diagnosis and no sperm donation is allowed during the study period and for twenty-eight days after study drug discontinuation
__label__1,study interventions are Tacrolimus . stage iv mantle cell lymphoma diagnosis and fertile men or women unwilling to use contraceptive techniques during and for twelve months following treatment
__label__1,study interventions are Cyclophosphamide . stage iv adult immunoblastic large cell lymphoma diagnosis and women of childbearing potential who are pregnant beta hcg positive or breast feeding
__label__1,study interventions are Fludarabine . recurrent adult diffuse small cleaved cell lymphoma diagnosis and known allergy to filgrastim csf
__label__1,study interventions are Ramucirumab . have symptomatic or uncontrolled brain metastases spinal cord compression or leptomeningeal disease requiring concurrent treatment
__label__1,study interventions are Dasatinib . unspecified adult solid tumor protocol specific diagnosis and prolonged qtc interval on pre entry electrocardiogram greater_than four hundred and fifty msec
__label__0,study interventions are Ifosfamide . recurrent adult grade iii lymphomatoid granulomatosis diagnosis and all patients must be informed of the investigational nature of this study and have given written consent in accordance with institutional and federal guidelines
__label__1,study interventions are Interleukin-2 . documented child pugh score of or for hepatocellular carcinoma patients with known underlying liver dysfunction
__label__1,study interventions are Cyclophosphamide . nodal marginal zone cell lymphoma diagnosis and potential donors who for psychological physiological or medical reasons cannot tolerate administration of csf or apheresis
__label__1,study interventions are Docetaxel . recurrent squamous cell carcinoma of the paranasal sinus and nasal cavity diagnosis and evidence or history of bleeding diathesis or coagulopathy
__label__0,study interventions are Cyclophosphamide . lymphoma diagnosis and any patient with hematologic or oncologic diagnosis in which allogeneic hsct is thought to be beneficial and in whom front line therapy has already been applied
__label__0,study interventions are GSK1363089 (foretinib) . neoplasms head and neck diagnosis and the subject has measurable disease defined as at least one lesion that can be accurately measured in at least one dimension longest diameter to be recorded as equal_than twenty mm with conventional techniques or as equal_than ten mm with spiral computerized tomography ct scan
__label__1,study interventions are Rituximab . stage adult diffuse large cell lymphoma diagnosis and no current malignancy
__label__0,study interventions are Oxaliplatin . primary peritoneal cavity cancer diagnosis and creatinine less_than doc mg dl or creatinine clearance greater_than sixty ml min
__label__1,study interventions are GVHD prophylaxis . precursor cell lymphoblastic leukemia lymphoma diagnosis and had an autologous hematopoietic stem cell transplant in the three months before study entry
__label__0,study interventions are Cisplatin . untreated metastatic squamous neck cancer with occult primary diagnosis and ability to understand and the willingness to sign written informed consent document
__label__0,study interventions are Cisplatin . stage iv endometrial carcinoma diagnosis and urine protein
__label__1,study interventions are high performance liquid chromatography . adult primary liver cancer diagnosis and pregnant women are excluded from this study serum pregnancy must be performed and be negative in all women of child bearing potential within two weeks prior to enrollment because there is an unknown but potential risk for adverse events in nursing infants secondary to treatment of the mother with same breastfeeding should be discontinued if the mother is treated with same
__label__1,study interventions are Rituximab . diffuse large cell lymphoma diagnosis and uncontrolled hypertension
__label__1,study interventions are Everolimus . adult mixed glioma diagnosis and patients must not have received prior therapy with cci seven hundred and seventy-nine temsirolimus osi seven hundred and seventy-four erlotinib or other mtor or epidermal growth factor receptor inhibitors
__label__1,study interventions are Carboplatin . active infections serum calcium within institutional normal range history of hypercalcemia prior malignancy other than nasopharyngeal carcinoma allowed concurrent malignancy not pregnant or lactating fertile patients must use effective contraception
__label__0,study interventions are Vorinostat . stage iv adult lymphoblastic lymphoma diagnosis and patients with unstable or untreated non irradiated brain metastases should be excluded
__label__0,study interventions are Interferons . intraocular melanoma diagnosis and bidimensionally measurable or evaluable disease
__label__0,study interventions are Fosaprepitant . hematopoietic lymphoid cancer diagnosis and no severe cognitive compromise
__label__0,study interventions are Antibodies . melanoma diagnosis and if the patient has known liver metastases an alt and or ast less_than or equal_than five uln are allowed
__label__0,study interventions are Antibodies . recurrent adult immunoblastic large cell lymphoma diagnosis and no prior grade three or four acute graft vs host disease
__label__0,study interventions are Bevacizumab . recurrent childhood small noncleaved cell lymphoma diagnosis and ast sgot alt sgpt equal_than less_than doc institutional upper limit of normal patients with liver involvement will be allowed equal_than less_than doc institutional upper normal limit
__label__0,study interventions are Gamma-Secretase Inhibitor RO4929097 . recurrent primary peritoneal carcinoma diagnosis and ecog performance status equal_than less_than two karnofsky greater_than equal_than sixty
__label__1,study interventions are Albumin-Bound Paclitaxel . breast cancer diagnosis and patients with untreated or active brain metastases
__label__0,study interventions are Vaccines . multiple myeloma diagnosis and age greater_than eighteen years at the time of signing the informed consent form
__label__0,study interventions are Ambulatory surgery . early breast cancer diagnosis and clinically node negative
__label__1,study interventions are Rituximab . recurrent grade one follicular lymphoma diagnosis and known hama haca human anti mouse or anti chimeric antibodies
__label__1,study interventions are Exemestane . metastatic er positive her negative breast cancer diagnosis and potential patients must not have taken anastrozole letrozole fulvestrant or any chemotherapy for at least two weeks bevacizumab for at least three weeks before randomization
__label__0,study interventions are Everolimus . histologically confirmed invasive mammary carcinoma
__label__1,study interventions are Surgery as needed by the patient´s tumor and stage . sarcoma diagnosis and toxicity or liver medullar renal insufficiency that advise against participation
__label__0,study interventions are Cortisone . t lymphoblastic lymphoma diagnosis and per good clinical practice any toxicity related to prior therapies that in the opinion of the investigator would potentially be worsened with da_epoch positive
__label__0,study interventions are Topotecan . ovarian seromucinous carcinoma diagnosis and creatinine equal_than less_than doc uln
__label__1,study interventions are Cyclosporins . noncontiguous stage ii grade two follicular lymphoma diagnosis and diffusion capacity of carbon monoxide dlco less_than thirty-five total lung capacity tlc less_than thirty-five or forced expiratory volume in one second fevone less_than thirty-five and or receiving supplementary continuous oxygen
__label__1,study interventions are Vincristine . burkitt lymphoma diagnosis and patients who have undergone allogeneic stem cell or organ transplantation any time
__label__1,study interventions are Temozolomide . gliosarcoma diagnosis and history of myocardial infarction or unstable angina within six months prior to study enrollment
__label__1,study interventions are Gossypol . noncontiguous stage ii adult immunoblastic large cell lymphoma diagnosis and concurrent treatment with an investigational agent other than the investigational agent used in this study or treatment within four weeks of study entry with any investigational agent or device s
__label__0,study interventions are Fludarabine phosphate . contiguous stage ii grade three follicular lymphoma diagnosis and acute myeloid leukemia aml
__label__0,study interventions are Docetaxel . non small cell lung cancer diagnosis and eastern cooperative oncology group ecog performance status of zero one
__label__1,study interventions are Prednisone . hormone refractory prostate cancer diagnosis and clinical evidence of brain or leptomeningeal metastases
__label__1,study interventions are flow cytometry . john wort pc_spes or other herbal remedies taken for the purpose of treating prostate cancer may be given during protocol treatment patients are allowed to have received neoadjuvant and or adjuvant chemotherapy that was completed at least six months prior to registration to the protocol
__label__1,study interventions are Albumin-Bound Paclitaxel . squamous cell lung carcinoma diagnosis and end stage renal disease ie on dialysis or dialysis has been recommended
__label__0,study interventions are Radiation therapy . lung cancer diagnosis and complete response partial response or stable disease after definitive locoregional therapy with surgery and or radiation therapy with or without chemotherapy chemotherapy alone does not constitute definitive therapy
__label__0,study interventions are Liposomal doxorubicin . metastatic cancer diagnosis and see disease characteristics
__label__1,study interventions are Etoposide . recurrent adult cell leukemia lymphoma diagnosis and had evidence of active central nervous system cns involvement
__label__1,study interventions are Bortezomib . stage iii small lymphocytic lymphoma diagnosis and serious medical or psychiatric illness likely to interfere with participation in this clinical study
__label__1,study interventions are Methylprednisolone . prostate cancer diagnosis and has uncontrolled hypertension systolic blood pressure greater than or equal to one hundred and sixty millimeter of mercury or diastolic blood pressure greater than or equal to ninety-five millimeter of mercury
__label__0,study interventions are Fluorouracil . gastroesophageal cancer diagnosis and no known allergy to any of the study drugs
__label__0,study interventions are Dexamethasone acetate . adult nasal type extranodal nk cell lymphoma diagnosis and serum creatinine less than doc times the upper limit of normal and creatinine clearance greater than fifty ml per minute
__label__1,study interventions are Proton radiotherapy . carcinoma hepatocellular diagnosis and ongoing medically significant active infection
__label__1,study interventions are Hormones . metastatic breast cancer diagnosis and has undergone major surgery within the past twenty-one days or has had major surgery performed greater_than twenty-one days prior to screening and the wound remains unhealed
__label__0,study interventions are Cisplatin . urethral cancer diagnosis and chemotherapy
__label__1,study interventions are Fluorouracil . renal cell carcinoma diagnosis and patients requiring any non study corticosteroids for any reason are excluded
__label__1,study interventions are Veliparib . breast cancer diagnosis and history of immediate or delayed hypersensitivity reaction or other contraindication to contrast agents including but not limited to gadolinium and iodine
__label__1,study interventions are Albumin-Bound Paclitaxel . ovarian cancer diagnosis and patients requiring drainage gastrostomy peg tube and or parenteral hydration and or nutrition are not eligible
__label__0,"study interventions are Calcium, Dietary . recurrent malignant extragonadal germ cell tumor diagnosis and no prior alvocidib"
__label__1,study interventions are Immunoglobulins . stage ivc verrucous carcinoma of the oral cavity diagnosis and investigational therapy within four weeks of study entry
__label__0,study interventions are Gossypol acetic acid . stage adult lymphoblastic lymphoma diagnosis and total bilirubin within normal institutional limits
__label__1,study interventions are Antibodies . angioimmunoblastic cell lymphoma diagnosis and inability to understand or give an informed consent
__label__1,study interventions are LDE225 . hepatocellular carcinoma diagnosis and women of child bearing potential must use highly effective contraception during the study and through six months after the final dose of study treatment
__label__1,study interventions are Pemetrexed . cancer diagnosis and the french subject has participated in any study using an investigational study treatment during the previous thirty days
__label__1,study interventions are Leucovorin . stage ivb colorectal cancer diagnosis and history of severe anti egfr toxicity requiring drug discontinuation or dose modification within the first four months of prior anti egfr therapy
__label__0,study interventions are Erlotinib Hydrochloride . cancer that was treated more than five years ago and the patient has remained disease free
__label__0,study interventions are Immunoglobulins . recurrent small lymphocytic lymphoma diagnosis and patients must have documented cell lymphocytosis greater_than five ten nine at some point since initial diagnosis of cll
__label__0,"study interventions are Antibodies, Monoclonal . recurrent lymphoepithelioma of the oropharynx diagnosis and no arterial thromboembolic event within the past six months including any of the following"
__label__0,study interventions are Dexamethasone 21-phosphate . malignant neoplasm diagnosis and patients must be willing to participate with daily diary entries for five days following chemotherapy and agree to have five minute follow up call on day two or three and day five six or seven
__label__0,study interventions are Paclitaxel . ovarian mucinous cystadenocarcinoma diagnosis and no clinical symptoms or signs of gastrointestinal obstruction and who require parenteral hydration and or nutrition applies to part only
__label__1,"study interventions are AZD3514 . prostate cancer diagnosis and refractory nausea and vomiting chronic gastrointestinal diseases inability to swallow the formulated product or previous significant bowel resection that would preclude adequate absorption of azdthree thousand, five hundred and fourteen"
__label__1,study interventions are Albumin-Bound Paclitaxel . non small cell lunch cancer diagnosis and patient has received any prior systemic therapies for metastatic nsclc
__label__1,study interventions are Docetaxel . symptomatic brain metastases and clinically diagnosed leptomeningeal metastases
__label__0,study interventions are Alvocidib . unspecified adult solid tumor protocol specific diagnosis and no cns metastases
__label__1,study interventions are Fluorouracil . advanced gastrointestinal cancer diagnosis and history of cardiac disease
__label__0,study interventions are Antibodies . refractory small lymphocytic lymphoma diagnosis and life expectancy must be greater than sixty days
__label__0,study interventions are Mycophenolate mofetil . recurrent childhood grade iii lymphomatoid granulomatosis diagnosis and pbmc only will be permitted as hsc_source on this protocol
__label__1,study interventions are Rexin-G . sarcoma diagnosis and fertile patients unless they agree to use barrier contraception condoms and spermicide jelly during the vector infusion period and for six weeks after infusion
__label__1,study interventions are Sirolimus . neuroendocrine tumor diagnosis and prior treatment with cytotoxic chemotherapy radiation immunotherapy or any investigational drug within the preceding four weeks
__label__1,study interventions are Sunitinib . refractory multiple myeloma diagnosis and any major surgery less_than four weeks prior to study entry
__label__0,study interventions are TACE Therapy . patients with diagnosis of hepatocellular carcinoma
__label__0,study interventions are Cyclosporine . lymphoma diagnosis and renal function
__label__0,study interventions are Prednisolone acetate . multiple myeloma and plasma cell neoplasm diagnosis and no development of gvhd after prior donor lymphocyte infusion
__label__0,study interventions are Dacarbazine . unspecified adult solid tumor protocol specific diagnosis and no peripheral neuropathy greater_than grade one
__label__1,study interventions are Levoleucovorin . stage iiib gallbladder cancer diagnosis and active uncontrolled bleeding
__label__1,study interventions are Pomalidomide . cancer treated with curative intent greater_than five years before study enrollment and without evidence of recurrence will be allowed
__label__0,study interventions are Resistance Exercise Program . prostate cancer
__label__0,study interventions are Methotrexate . recurrent refractory childhood hodgkin lymphoma diagnosis and donors who have poor peripheral venous access may require central venous line placement for stem cell apheresis
__label__1,study interventions are Denileukin diftitox . recurrent non small cell lung cancer diagnosis and patients with any clinically significant autoimmune disease uncontrolled with treatment
__label__1,study interventions are Sunitinib . ciliary body and choroid melanoma small size diagnosis and current evidence of hematemesis melena or gross hematuria
__label__1,study interventions are Questionnaire Administration . recurrent mantle cell lymphoma diagnosis and detailed assessment of hepatitis c medical history and risk factors must be done at screening for all patients hepatitis surface antigen hbsag and hepatitis virus hcv ribonucleic acid rna polymerase chain reaction pcr testing are required at screening for all patients with positive medical history based on risk factors and or confirmation of prior hepatitis virus hbv infection
__label__1,study interventions are Pixantrone . metastatic cancer diagnosis and known human immunodeficiency virus
__label__1,study interventions are Romidepsin . recurrent renal cell carcinoma diagnosis and note
__label__0,study interventions are Laboratory Biomarker Analysis . stage ib fallopian tube cancer diagnosis and group b
__label__1,study interventions are Dexamethasone . newly diagnosed multiple myeloma diagnosis and uncontrolled hypertension or uncontrolled diabetes within fourteen days prior to first dose of study drug
__label__0,study interventions are Cyclophosphamide . testicular lymphoma diagnosis and serum glutamic oxaloacetic transaminase sgot less_than two times the normal or clearance by ccf physician
__label__1,study interventions are Ixazomib . lymphoma diagnosis and john wort within fourteen days before the first dose of ixazomib
__label__1,study interventions are Bevacizumab . metastatic melanoma diagnosis and or taxane based chemotherapy regimens including paclitaxel docetaxel cabazitaxel or nab paclitaxel
__label__0,study interventions are Interferon-alpha . kidney cancer diagnosis and at least three weeks since prior major surgery requiring general anesthesia
__label__1,study interventions are Laboratory Biomarker Analysis . refractory mantle cell lymphoma diagnosis and requires anticoagulation with warfarin or equivalent vitamin antagonists phenprocoumon
__label__0,study interventions are Paclitaxel . head and neck cancer diagnosis and not pregnant or nursing fertile patients must use effective contraception
__label__0,study interventions are Niacinamide . non squamous cell lung cancer diagnosis and patients receiving anti coagulation treatment with an agent such as warfarin or heparin may be allowed to participate
__label__1,study interventions are Sunitinib . stage iiic ovarian epithelial cancer diagnosis and low molecular weight heparin is permitted provided the patient international normalized ratio inr is equal_than less_than doc inr must be done within seven days prior to registration
__label__1,study interventions are Fludarabine phosphate . stage iv childhood anaplastic large cell lymphoma diagnosis and poorly controlled hypertension
__label__0,study interventions are Everolimus . mantle cell lymphoma diagnosis and organ function criteria
__label__0,study interventions are Cediranib . recurrent fallopian tube carcinoma diagnosis and patients may not have previously received parp inhibitor
__label__0,study interventions are AFP464 . recurrent renal cell cancer diagnosis and patients receiving subcutaneous or low molecular weight heparin
